time,latitude,longitude,altitude,speed,hdop,satellites,course,vBat,vBus,PowerStatus,ChargingStatus,co2,temp,hum
18181560,51.27265917,12.37718133,114.5,33.540,1.09,12,169.9,3.98073,0.00795,1,2,235,22.32,57.23
18182040,51.27235567,12.37730017,115.1,31.503,1.06,12,162.6,3.98449,0.00795,1,2,239,22.34,57.10
18182553,51.27197583,12.37750567,115.6,31.540,1.06,12,162.8,3.98449,0.00795,1,2,232,22.34,57.15
18183040,51.27155317,12.37771250,116.4,29.595,1.06,12,167.4,3.98073,0.00795,1,2,221,22.36,57.19
18183541,51.27119583,12.37782367,117.2,29.058,1.15,12,167.5,3.98073,0.00795,1,2,207,22.38,57.31
18184041,51.27090017,12.37792667,118.0,30.891,1.10,12,168.9,3.98073,0.00795,1,2,221,22.38,57.42
18184542,51.27052850,12.37804350,118.8,29.521,1.14,12,168.9,3.98073,0.00795,1,2,225,22.41,57.42
18185041,51.27009217,12.37819367,120.1,29.854,1.06,12,166.7,3.98073,0.00530,1,2,232,22.42,57.35
18185542,51.26972050,12.37832683,120.7,30.891,1.06,12,168.1,3.98073,0.00530,1,2,227,22.44,57.42
18186043,51.26939767,12.37844417,120.4,34.281,1.06,12,167.3,3.98073,0.00530,1,2,228,22.44,57.50
18190543,51.26898800,12.37855967,120.5,33.132,1.06,12,174.5,3.98073,0.00530,1,2,226,22.46,57.41
18191043,51.26847200,12.37861767,120.3,36.318,1.06,12,178.7,3.98073,0.00530,1,2,228,22.44,57.34
